date_added,latrine_site,month_year,segment_id,fragment_id,vehicle_access,fragment_type,fragment_description,fragment_weight,notes
3/31/23,GCTL,Sep2021,GCTL_S4_14Sep2021,GCTL_S4_14Sep2021_F2,yes,Invertebrate,arthropod,0.161,molt
3/31/23,GCETRO,Dec2021,GCETRO_S7_06Dec2021,GCETRO_S7_06Dec2021_F2,yes,Invertebrate,arthropod,0.007,wings
3/31/23,GCETRO,Jun2021,GCETRO_S2_02Jun2021,GCETRO_S2_02Jun2021_F2,yes,Invertebrate,arthropod,0.046,legs_and_exoskeleton_chitin
3/31/23,GCETRO,Jun2021,GCET2_S12_02Jun2021,GCET2_S12_02Jun2021_F2,yes,Invertebrate,arthropod,0.002,legs_exoskeleton_mandibles
3/31/23,GCETRO,Jun2021,GCET2_S9_02Jun2021,GCET2_S9_02Jun2021_F3,yes,Invertebrate,arthropod,0.009,legs_and_wing
4/10/23,GCBAC,Sep2021,GCBAC_S11_12Sep2021,GCBAC_S11_12Sep2021_F3,no,Invertebrate,arthropod,0.007,head/legs
4/10/23,GCETRO,Jun2021,GCET2_S5_02Jun2021,GCET2_S5_02Jun2021_F4,yes,Invertebrate,arthropod,0.042,legs_various_other_parts 
4/10/23,GCETRO,Sep2021,GCETRO_S6_14Sep2021,GCETRO_S6_14Sep2021_F3,yes,Invertebrate,arthropod,0.032,legs
7/13/23,GCETRO,Sep2021,GCETRO_S10_14Sep2021,GCETRO_S10_14Sep2021_F2,yes,Invertebrate,arthropod,0.002,legs_and_exoskeleton/chitin
4/26/23,GCTC,Sep2021,GCTC_S2_13Sep2021,GCTC_S2_13Sep2021_F2,no,Invertebrate,arthropod,0.001,flying arthropod
4/26/23,GCWP,Jun2021,GCWP_S4_05Jun2021,GCWP_S4_05Jun2021_F1,,Invertebrate,arthropod,0.003,exoskeleton
4/26/23,GCBH,Jun2021,GCBH_S2_05Jun2021,GCBH_S2_05Jun2021_F1,,Invertebrate,arthropod,0.002,legs
4/26/23,GCBH,Sep2021,GCBH_S4_12Sep2021,GCBH_S4_12Sep2021_F1,,Invertebrate,arthropod,0.04,legs
4/26/23,GCBH,Jun2021,GCBH_S6_05Jun2021,GCBH_S6_05Jun2021_F2,,Invertebrate,arthropod,0.005,leg and wing
4/26/23,GCBAC,Sep2021,GCBAC_S8_12Sep2021,GCBAC_S8_12Sep2021_F1,,Invertebrate,arthropod,0.026,legs
4/10/23,GCETRO,Jun2021,GCET2_S5_02Jun2021,GCET2_S5_02Jun2021_F2,yes,Vertebrate,bone,0.002,bone
6/26/23,GCBAC,Sep2021,GCBAC_S10_12Sep2021,GCBAC_S10_12Sep2021_F2,,Vertebrate,bone,0.051,bone fragments
4/10/23,GCETRO,Sep2021,GCETRO_S6_14Sep2021,GCETRO_S6_14Sep2021_F2,yes,Vertebrate,bones,0.054,bone_fragments
7/13/23,GCETRO,Sep2021,GCETRO_S10_14Sep2021,GCETRO_S10_14Sep2021_F4,yes,Vertebrate,bones,0.153,bones_and_teeth_of_rodent
7/24/23,GCETRO,Jun2021,GCETRO_S7_02Jun2021,GCETRO_S7_02Jun2021_F2,,Vertebrate,bones,0.192,bone fragments
4/19/23,GCTL,Sep2021,GCTL_S2_14Sep2021,GCTL_S2_14Sep2021_F1b,yes,Vertebrate,bones and hair,0.167,fur
4/19/23,GCBH,Jun2021,GCBH_S8_05Jun2021,GCBH_S8_05Jun2021_F1,no,Vertebrate,bones and hair,0.598,fur
4/19/23,GCBH,Jun2021,GCBH_S3_05Jun2021,GCBH_S3_05Jun2021_F1,no,Vertebrate,bones and hair,0.465,fur
7/24/23,GCBH,Jun2021,GCBH_S10_05Jun2021,GCBH_S10_05Jun2021_F1,,Vertebrate,bones_and_hair,0.158,fur and bone fragments
7/24/23,GCETRO,Jun2021,GCETRO_S5_02Jun2021,GCETRO_S5_02Jun2021_F1,,Vertebrate,bones_and_hair,0.292,fur and bone fragments
7/24/23,GCETRO,Sep2021,GCETRO_S2_14Sep2021,GCETRO_S2_14Sep2021_F2,,Vertebrate,bones_and_hair,0.127,n/a
7/24/23,GCBH,Jun2021,GCBH_S7_05Jun2021,GCBH_S7_05Jun2021_F1,,Vertebrate,bones_and_hair,0.068,n/a
7/24/23,GCETRO,Sep2021,GCETRO_S3_14Sep2021,GCETRO_S3_14Sep2021_F2,,Vertebrate,bones_and_hair,0.047,fur and bone fragments
7/24/23,GCETRO,Sep2021,GCETRO_S7_14Sep2021,GCETRO_S7_14Sep2021_F1,,Vertebrate,bones_and_teeth,0.197,bone fragments
7/24/23,GCWP,Jun2021,GCWP_S2_05Jun2021,GCWP_S2_05Jun2021_F1,,Invertebrate,exoskeleton,0.026,n/a
7/24/23,GCETRO,Sep2021,GCETRO_S5_14Sep2021,GCETRO_S5_14Sep2021_F2,,Invertebrate,exoskeleton,0.109,n/a
7/24/23,GCETRO,Dec2021,GCETRO_S6_06Dec2021,GCETRO_S6_06Dec2021_F3,,Invertebrate,exoskeleton,0.024,n/a
7/24/23,GCETRO,Jun2021,GCETRO_S8_02Jun2021,GCETRO_S8_02Jun2021_F4,,Plant,exoskeleton,0.001,n/a
7/24/23,GCBAC,Sep2021,GCBAC_S9_12Sep2021,GCBAC_S9_12Sep2021_F1,,Vertebrate,feather,0.063,n/a
4/26/23,GCBH,Jun2021,GCBH_S6_05Jun2021,GCBH_S6_05Jun2021_F4,,Vertebrate,feathers,0.007,feathers
7/24/23,GCJH,May2021,GCJH_S2_06May2021,GCJH_S2_06May2021_F1,,Anthropogenic,fibers,0.028,n/a
7/24/23,GCBH,Jun2021,GCBH_S5_05Jun2021,GCBH_S5_05Jun2021_F2,,Anthropogenic,flake,0.062,n/a
3/31/23,GCETRO,Dec2021,GCETRO_S3_16Jun2021,GCETRO_S3_16Jun2021_F2,yes,Vertebrate,hair,0.284,fur
3/31/23,GCETRO,Dec2021,GCETRO_S7_06Dec2021,GCETRO_S7_06Dec2021_F3,yes,Vertebrate,hair,0.002,fur
3/31/23,GCETRO,Jun2021,GCET2_S16_02Jun2021,GCET2_S16_02Jun2021_F2,yes,Vertebrate,hair,0.059,fur_and_dry_fractured_bone
3/31/23,GCETRO,Dec2021,GCETRO_S1_06Dec2021,GCETRO_S1_06Dec2021_F3,yes,Vertebrate,hair,0.116,fur
3/31/23,GCETRO,Jun2021,GCET2_S4_02Jun2021,GCET2_S4_02Jun2021_F2,yes,Vertebrate,hair,0.52,fur
4/10/23,GCBAC,Sep2021,GCBAC_S11_12Sep2021,GCBAC_S11_12Sep2021_F4,no,Vertebrate,hair,0.01,fur
7/13/23,GCETRO,Jun2021,GCETRO_S1_02Jun2021,GCETRO_S1_02Jun2021_F3,yes,Vertebrate,hair,0.002,fur
4/19/23,GC15H,Dec2021,GC15H_S3_04Dec2021,GC15H_S3_04Dec2021_F2,no,Vertebrate,hair,0.255,fur
4/26/23,GCBB,Dec2021,GCBB_S3_05Dec2021,GCBB_S3_05Dec2021_F1,no,Vertebrate,hair,0.577,fur
4/26/23,GCBAR,Dec2021,GCBAR_S2_05Dec2021,GCBAR_S2_05Dec2021_F3,yes,Vertebrate,hair,0.001,fur
4/26/23,GCETRO,Dec2021,GCETRO_S8_06Dec2021,GCETRO_S8_06Dec2021_F2,yes,Vertebrate,hair,0.028,fur
4/26/23,GC15H,Jul2021,GC15H_S2_25Jul2021,GC15H_S2_25Jul2021_F2,no,Vertebrate,hair,0.001,fur
