lab_date,preparor,tourism_level,site_area,unique_site,sample_id,date_collected,month,wetweight_grams,diameter_mm,scat_identity,dryweight_grams,plastic,anthropogenic,invertebrate,vertebrate,plant,diet_richness,notes
9/28/2022,LLO,backcountry,GCBAT,GC15H,GC15H_S1_04Dec2021,12/4/2021,december,4.203,12.2,other mesocarnivore,3.0186,0,0,0,1,1,2,
8/31/2022,LLO,backcountry,GCBAT,GC15H,GC15H_S1_11Sep2021,9/11/2021,september,0.818,12.1,other mesocarnivore,0.6522,0,0,0,1,1,2,
11/2/2022,LLO,backcountry,GCBAT,GC15H,GC15H_S1_25Jul2021,7/25/2021,july,1.459,10.8,other mesocarnivore,0.7175,0,0,0,0,1,1,
4/29/2022,ARW,backcountry,GCBAT,GC15H,GC15H_S2_04Dec2021,12/4/2021,december,1.113,10.9,other mesocarnivore,0.755,0,0,0,0,1,1,
9/21/2022,LLO,backcountry,GCBAT,GC15H,GC15H_S2_13Sep2021,9/13/2021,september,5.174,16.6,other mesocarnivore,2.661,1,0,1,1,0,3,
11/2/2022,LLO,backcountry,GCBAT,GC15H,GC15H_S2_25Jul2021,7/25/2021,july,11.6,1.6,other mesocarnivore,0.7684,0,0,0,1,1,2,
4/29/2022,ARW,backcountry,GCBAT,GC15H,GC15H_S3_04Dec2021,12/4/2021,december,2.208,11.8,other mesocarnivore,1.4732,0,0,0,1,1,2,referred to fecal_data sheet and original photo
9/21/2022,LLO,backcountry,GCBAT,GC15H,GC15H_S3_13Sep2021,9/3/2021,september,3.244,9.4,other mesocarnivore,3.1786,0,0,0,1,1,2,
11/2/2022,LLO,backcountry,GCBAC,GCBH,GCBH_S9_05Jun2021,6/5/2021,june,4.924,no_distinct_width,ringtail,3.674,0,0,0,1,0,1,
11/2/2022,LLO,backcountry,GCBAT,GC15H,GC15H_S3_25Jul2021,7/25/2021,july,11.5,2.5,other mesocarnivore,1.0666,0,0,0,0,1,1,
1/12/2023,LLO,backcountry,GCBAC,GCBAC,GCBAC_S1_08Jun2021,6/8/2021,june,4.065,14,ringtail,3.182,0,0,0,0,1,1,
