date_added,site_id,month_year,segment_id,fragment_id,fragment_type,fragment_description,visual_id,fragment_weight,notes
4/26/23,GC15H,Dec2021,GC15H_S1_04Dec2021,GC15H_S1_04Dec2021_F1,Vertebrate,hair,,0.63,fur
4/26/23,GC15H,Dec2021,GC15H_S1_04Dec2021,GC15H_S1_04Dec2021_F2,Plant,plant_material,,1.534,seeds and other fragments
4/19/23,GC15H,Jul2021,GC15H_S1_25Jul2021,GC15H_S1_25Jul2021_F1,Plant,plant_material,,0.002,n/a
4/26/23,GC15H,Dec2021,GC15H_S2_04Dec2021,GC15H_S2_04Dec2021_F1,Plant,plant_material,,0.711,possible petals
4/26/23,GC15H,Jul2021,GC15H_S2_25Jul2021,GC15H_S2_25Jul2021_F1,Plant,plant_material,,0.172,seed
4/26/23,GC15H,Jul2021,GC15H_S2_25Jul2021,GC15H_S2_25Jul2021_F2,Vertebrate,hair,,0.001,fur
4/19/23,GC15H,Dec2021,GC15H_S3_04Dec2021,GC15H_S3_04Dec2021_F1,Plant,plant_material,,0.052,n/a
4/19/23,GC15H,Dec2021,GC15H_S3_04Dec2021,GC15H_S3_04Dec2021_F2,Vertebrate,hair,,0.255,fur
4/26/23,GC15H,Jul2021,GC15H_S3_25Jul2021,GC15H_S3_25Jul2021_F1,Plant,plant_material,,0.348,seeds and casings
4/26/23,GCBAC,Jun2021,GCBAC_S1_08Jun2021,GCBAC_S1_08Jun2021_F1,Plant,plant_material,,2.21,seeds and casings
7/24/23,GCBAC,Sep2021,GCBAC_S1_12Sep2021,GCBAC_S1_12Sep2021_F1,Plant,plant_material,,1.024,seed casings
7/24/23,GCBAC,Sep2021,GCBAC_S1_12Sep2021,GCBAC_S1_12Sep2021_F2,Anthropogenic,paper,,0.201,n/a
6/26/23,GCBAC,Sep2021,GCBAC_S10_12Sep2021,GCBAC_S10_12Sep2021_F1,Invertebrate,legs_and_exoskeleton,,0.084,n/a
6/26/23,GCBAC,Sep2021,GCBAC_S10_12Sep2021,GCBAC_S10_12Sep2021_F2,Vertebrate,bone,,0.051,bone fragments
6/26/23,GCBAC,Sep2021,GCBAC_S10_12Sep2021,GCBAC_S10_12Sep2021_F3,Plant,plant_material,,0.001,n/a
7-13-2023,GCBAC,Sep2021,GCBAC_S11_12Sep2021,GCBAC_S11_12Sep2021_F1,Plastic,plastic,unidentifiable wrapper,0.02,food_wrapper
4-10-2023,GCBAC,Sep2021,GCBAC_S11_12Sep2021,GCBAC_S11_12Sep2021_F2,Plant,plant_material,,0.271,seeds/seed_casings
4-10-2023,GCBAC,Sep2021,GCBAC_S11_12Sep2021,GCBAC_S11_12Sep2021_F3,Invertebrate,arthropod,,0.007,head/legs
4-10-2023,GCBAC,Sep2021,GCBAC_S11_12Sep2021,GCBAC_S11_12Sep2021_F4,Vertebrate,hair,,0.01,fur
4-10-2023,GCBAC,Sep2021,GCBAC_S11_12Sep2021,GCBAC_S11_12Sep2021_F5,Anthropogenic,paper,,0.007,n/a
7/24/23,GCBAC,Sep2021,GCBAC_S2_12Sep2021,GCBAC_S2_12Sep2021_F1,Plant,plant_material,,1.411,seeds
7/24/23,GCBAC,Sep2021,GCBAC_S2_12Sep2021,GCBAC_S2_12Sep2021_F2,Anthropogenic,paper,,0.002,n/a
4/26/23,GCBAC,Sep2021,GCBAC_S5_12Sep2021,GCBAC_S5_12Sep2021_F1,Plant,plant_material,,0.048,n/a
7-13-2023,GCBAC,Sep2021,GCBAC_S6_12Sep2021,GCBAC_S6_12Sep2021_F1,Plastic,plastic,unidentifiable wrapper,0.006,small_plastic_fragment
3-31-2023,GCBAC,Sep2021,GCBAC_S6_12Sep2021,GCBAC_S6_12Sep2021_F2,Plant,plant_material,,0.119,n/a
7/24/23,GCBAC,Sep2021,GCBAC_S7_12Sep2021,GCBAC_S7_12Sep2021_F1,Anthropogenic,paper,,0.178,n/a
7/24/23,GCBAC,Sep2021,GCBAC_S7_12Sep2021,GCBAC_S7_12Sep2021_F1,Plant,seeds_plant_material,,0.638,n/a
4/26/23,GCBAC,Sep2021,GCBAC_S8_12Sep2021,GCBAC_S8_12Sep2021_F1,Invertebrate,arthropod,,0.026,legs
4/26/23,GCBAC,Sep2021,GCBAC_S8_12Sep2021,GCBAC_S8_12Sep2021_F2,Plant,plant_material,,0.157,seeds
7/24/23,GCBAC,Sep2021,GCBAC_S9_12Sep2021,GCBAC_S9_12Sep2021_F1,Vertebrate,feather,,0.063,n/a
7/24/23,GCBAC,Sep2021,GCBAC_S9_12Sep2021,GCBAC_S9_12Sep2021_F2,Plant,plant_material,,0.361,seeds and casings
7/24/23,GCBAC,Sep2021,GCBAC_S9_12Sep2021,GCBAC_S9_12Sep2021_F3,Invertebrate,wing,,0.028,n/a
4/26/23,GCBAR,Dec2021,GCBAR_S1_06Dec2021,GCBAR_S1_06Dec2021_F1,Anthropogenic,rubber,,0.064,n/a
4/26/23,GCBAR,Dec2021,GCBAR_S1_06Dec2021,GCBAR_S1_06Dec2021_F2,Vertebrate,hair and bones,,0.385,fur and bone fragments
4/26/23,GCBAR,Jun2021,GCBAR_S2_02Jun2021,GCBAR_S2_02Jun2021_F1,Anthropogenic,fibers,,0.002,n/a
4/26/23,GCBAR,Jun2021,GCBAR_S2_02Jun2021,GCBAR_S2_02Jun2021_F2,Vertebrate,hair and bones,,0.033,rib fragment
4/26/23,GCBAR,Jun2021,GCBAR_S2_02Jun2021,GCBAR_S2_02Jun2021_F3,Plant,plant_material,,0.016,n/a
4/26/23,GCBAR,Dec2021,GCBAR_S2_05Dec2021,GCBAR_S2_05Dec2021_F1,Anthropogenic,paper,,0.001,n/a
4/26/23,GCBAR,Dec2021,GCBAR_S2_05Dec2021,GCBAR_S2_05Dec2021_F2,Plant,plant_material,,0.002,n/a
4/26/23,GCBAR,Dec2021,GCBAR_S2_05Dec2021,GCBAR_S2_05Dec2021_F3,Vertebrate,hair,,0.001,fur
7-13-2023,GCBAR,Jun2021,GCBAR_S3_02Jun2021,GCBAR_S3_02Jun2021_F1,Plastic,plastic,unidentifiable wrapper,0.93,plastic
7-13-2023,GCBAR,Jun2021,GCBAR_S3_02Jun2021,GCBAR_S3_02Jun2021_F2,Plant,plant_material,,0.021,plant_material
6/26/23,GCBAR,Jun2021,GCBAR_S4_02Jun2021,BA_S4_02Jun2021_F1,Vertebrate,hair,,0.056,n/a
6/26/23,GCBAR,Jun2021,GCBAR_S4_02Jun2021,BA_S4_02Jun2021_F2,Plant,plant_material,,0.069,seeds
7/24/24,GC15H,Sep2021,GC15H_S1_11Sep2021,GCBAT_S1_11Sep2021_F1,Plant,seeds_plant_material,,0.342,n/a
7/24/24,GC15H,Sep2021,GC15H_S1_11Sep2021,GCBAT_S1_11Sep2021_F2,Vertebrate,hair,,0.002,n/a
4/26/23,GCBB,Sep2021,GCBB_S1_12Sep2021,GCBB_S1_12Sep2021_F1,Anthropogenic,not_sure,,0.348,n/a
4/26/23,GCBB,Sep2021,GCBB_S1_12Sep2021,GCBB_S1_12Sep2021_F2,Plant,plant_material,,1.195,seeds
4/26/23,GCBB,Dec2021,GCBB_S3_05Dec2021,GCBB_S3_05Dec2021_F1,Vertebrate,hair,,0.577,fur
4/26/23,GCBB,Dec2021,GCBB_S3_05Dec2021,GCBB_S3_05Dec2021_F2,Plant,plant_material,,0.001,leaf piece?
4/26/23,GCBH,Dec2021,GCBH_S1_05Dec2021,GCBH_S1_05Dec2021_F1,Vertebrate,hair and bones,,0.228,fur and bone fragments
7/24/23,GCBH,Jun2021,GCBH_S10_05Jun2021,GCBH_S10_05Jun2021_F1,Vertebrate,bones_and_hair,,0.158,fur and bone fragments
7/24/23,GCBH,Jun2021,GCBH_S10_05Jun2021,GCBH_S10_05Jun2021_F2,Plant,plant_material,,0.005,n/a
7/24/23,GCBH,Dec2021,GCBH_S4_05Dec2021,GCBH_S2_05Dec2021_F1,Vertebrate,hair,,0.002,n/a
7/24/23,GCBH,Dec2021,GCBH_S4_05Dec2021,GCBH_S2_05Dec2021_F2,Plant,plant_material,,0.108,seeds and casings
7/24/23,GCBH,Dec2021,GCBH_S4_05Dec2021,GCBH_S2_05Dec2021_F3,Anthropogenic,paper_wrapping,,0.125,n/a
4/26/23,GCBH,Jun2021,GCBH_S2_05Jun2021,GCBH_S2_05Jun2021_F1,Invertebrate,arthropod,,0.002,legs
4/26/23,GCBH,Jun2021,GCBH_S2_05Jun2021,GCBH_S2_05Jun2021_F2,Vertebrate,hair and bones,,0.146,fur and bone fragments
7-13-2023,GCBH,Sep2021,GCBH_S2_12Sep2021,GCBH_S2_12Sep2021_F1,Plastic,plastic,unidentifiable wrapper,0.689,food_wrapper
7-13-2023,GCBH,Sep2021,GCBH_S2_12Sep2021,GCBH_S2_12Sep2021_F2,Plant,plant_material,,0.091,plant_pieces
7-13-2023,GCBH,Sep2021,GCBH_S2_12Sep2021,GCBH_S2_12Sep2021_F3,Plant,rocks,,0.573,many_small_rocks
7-13-2023,GCBH,Sep2021,GCBH_S2_12Sep2021,GCBH_S2_12Sep2021_F4,Anthropogenic,paper,,0.022,paper
4/19/23,GCBH,Jun2021,GCBH_S3_05Jun2021,GCBH_S3_05Jun2021_F1,Vertebrate,bones and hair,,0.465,fur
6/26/23,GCBH,Sep2021,GCBH_S3_12Sep2021,GCBH_S3_12Sep2021_F1,Plant,plant_material,,0.05,n/a
6/26/23,GCBH,Sep2021,GCBH_S3_12Sep2021,GCBH_S3_12Sep2021_F2,Vertebrate,hair_and_bones,,0.032,n/a
7/24/23,GCBH,Jun2021,GCBH_S4_05Jun2021,GCBH_S4_05Jun2021_F1,Vertebrate,hair,,0.022,n/a
7/24/23,GCBH,Jun2021,GCBH_S4_05Jun2021,GCBH_S4_05Jun2021_F2,Plant,plant_material,,0.719,seeds
4/26/23,GCBH,Sep2021,GCBH_S4_12Sep2021,GCBH_S4_12Sep2021_F1,Invertebrate,arthropod,,0.04,legs
4/26/23,GCBH,Sep2021,GCBH_S4_12Sep2021,GCBH_S4_12Sep2021_F2,Vertebrate,hair,,0.017,fur
4/26/23,GCBH,Sep2021,GCBH_S4_12Sep2021,GCBH_S4_12Sep2021_F3,Plant,plant_material,,0.038,n/a
7/24/23,GCBH,Jun2021,GCBH_S5_05Jun2021,GCBH_S5_05Jun2021_F1,Invertebrate,legs,,0.058,n/a
7/24/23,GCBH,Jun2021,GCBH_S5_05Jun2021,GCBH_S5_05Jun2021_F2,Anthropogenic,flake,,0.062,n/a
7/24/23,GCBH,Jun2021,GCBH_S5_05Jun2021,GCBH_S5_05Jun2021_F3,Plant,plant_material,,0.034,n/a
7-13-2023,GCBH,Sep2021,GCBH_S5_12Sep2021,GCBH_S5_12Sep2021_F1,Plastic,plastic,unidentifiable wrapper,0.008,food_wrapper
7-13-2023,GCBH,Sep2021,GCBH_S5_12Sep2021,GCBH_S5_12Sep2021_F2,Vertebrate,hair_and_bones,,0.638,bones_and_fur
7-13-2023,GCBH,Sep2021,GCBH_S5_12Sep2021,GCBH_S5_12Sep2021_F3,Plant,plant_material,,0.006,plant_material
4/26/23,GCBH,Jun2021,GCBH_S6_05Jun2021,GCBH_S6_05Jun2021_F1,Anthropogenic,not_sure,,0.002,n/a
4/26/23,GCBH,Jun2021,GCBH_S6_05Jun2021,GCBH_S6_05Jun2021_F2,Invertebrate,arthropod,,0.005,leg and wing
4/26/23,GCBH,Jun2021,GCBH_S6_05Jun2021,GCBH_S6_05Jun2021_F3,Plant,plant_material,,0.003,seeds
4/26/23,GCBH,Jun2021,GCBH_S6_05Jun2021,GCBH_S6_05Jun2021_F4,Vertebrate,feathers,,0.007,feathers
7/24/23,GCBH,Jun2021,GCBH_S7_05Jun2021,GCBH_S7_05Jun2021_F1,Vertebrate,bones_and_hair,,0.068,n/a
7/24/23,GCBH,Jun2021,GCBH_S7_05Jun2021,GCBH_S7_05Jun2021_F2,Invertebrate,leg,,0.025,n/a
7/24/23,GCBH,Jun2021,GCBH_S7_05Jun2021,GCBH_S7_05Jun2021_F3,Plant,plant_material,,0.044,seeds and casings
4/19/23,GCBH,Jun2021,GCBH_S8_05Jun2021,GCBH_S8_05Jun2021_F1,Vertebrate,bones and hair,,0.598,fur
7/24/23,GCTL,Sep2021,GCTL_S3_14Sep2021,GCBU_S3_14Sep2021_F1,Plant,plant_material,,0.002,seeds
7/24/23,GCTL,Sep2021,GCTL_S3_14Sep2021,GCBU_S3_14Sep2021_F2,Invertebrate,exoskeleton,,0.003,n/a
7/24/23,GCTL,Sep2021,GCTL_S3_14Sep2021,GCBU_S3_14Sep2021_F3,Anthropogenic,paper,,0.416,n/a
4-10-2023,GCETRF,Jun2021,GCET1_S6_02Jun2021,GCET1_S6_02Jun2021_F1,Plastic,plastic,unidentifiable wrapper,0.108,plastic
4-10-2023,GCETRF,Jun2021,GCET1_S6_02Jun2021,GCET1_S6_02Jun2021_F2,Anthropogenic,paper,,0.016,n/a
4-10-2023,GCETRF,Jun2021,GCET1_S6_02Jun2021,GCET1_S6_02Jun2021_F3,Vertebrate,hair_and_bones,,0.167,fur_and_various_bone_fragments
