date_added,latrine_site,month_year,sample_id,fragment_id,photo_file_name,tourism_level,dry_weight,fragment_weight,width_mm,length_mm,fragment_type,flame_color,observed_odor,plastic_type,color,self_extinguishing,notes
3/23/2023,GCETRF,21-Jun,GCETRF_S2_02Jun2021,GCETRF_S2_02Jun2021_F1,GCET1_S2_02Jun2021_F1,frontcountry,0.3925,0.131,7.1,34,plastic,yellow_orange,rubber,pe,gray,no,n/a
3/23/2023,GCETRO,21-Dec,GCETRO_S1_06Dec2021,GCETRO_S1_06Dec2021_F1,GCRO_S1_06Dec2021_F1,frontcountry,0.4254,0.016,5.8,20.6,plastic,yellow,sweet,pp,orange/red,yes,candy wrapper
3/23/2023,GCETRO,21-Dec,GCETRO_S1_06Dec2021,GCETRO_S1_06Dec2021_F2,GCRO_S1_06Dec2021_F2,frontcountry,0.4254,0.055,5.7,23.8,plastic,yellow_orange,rubber,pe,gray,no,n/a
3/23/2023,GCETRO,21-Jun,GCET2_S4_02Jun2021,GCET2_S4_02Jun2021_F1,GCET2_S4_02Jun2021_F1,frontcountry,0.9425,0.155,8.9,72.1,plastic,yellow,sweet,pp,pink and green,yes,blow pop wrapper
3/23/2023,GCETRO,21-Jun,GCET2_S16_02Jun2021,GCET2_S16_02Jun2021_F1,GCET2_S16_02Jun2021_F1,frontcountry,0.6206,0.031,7.7,29,plastic,yellow_orange,rubber,pe,white and blue,no,n/a
3/23/2023,GCETRO,21-Jun,GCET2_S5_02Jun2021,GCET2_S5_02Jun2021_F1,GCET2_S5_02Jun2021_F1,frontcountry,0.9078,0.054,9.3,26.7,plastic,yellow_orange,rubber,pe,clear,yes,plastic bag
3/23/2023,GCETRO,21-Dec,GCETRO_S3_06Dec2021,GCETRO_S3_06Dec2021_F1,GCRO_S3_06Dec2021_F1,frontcountry,0.8538,0.257,14.7,59.7,plastic,yellow_orange,rubber,pe,clear,no,n/a
3/23/2023,GCETRF,21-Jun,GCET1_S6_02Jun2021,GCET1_S6_02Jun2021_F1,GCET1_S6_02Jun2021_F1,frontcountry,0.949,0.108,10.6,42.2,plastic,red_orange,natural_gas,ps,white,no,n/a
3/23/2023,GCTL,21-Dec,GCTL_S1_06Dec2021,GCTL_S1_06Dec2021_F1,GCTL_S1_06Dec2021_F1,frontcountry,0.6078,0.023,22.3,28.1,plastic,yellow,sweet,pp,brown,no,milky way wrapper
3/23/2023,GCBAC,21-Sep,GCBAC_S6_12Sep2021,GCBAC_S6_12Sep2021_F1,GCBAC_S6_12Sep2021_F1,backcountry,0.3384,0.006,3.1,10.2,plastic,yellow_orange,rubber,pe,gray,no,small
3/23/2023,GCETRO,21-Jun,GCET2_S9_02Jun2021,GCET2_S9_02Jun2021_F1,GCET2_S9_02Jun2021_F1,frontcountry,0.7704,0.077,20.6,11,plastic,yellow,sweet,pp,blue,no,wrapping
3/23/2023,GCETRO,21-Jun,GCET2_S12_02Jun2021,GCET2_S12_02Jun2021_F1,GCET2_S12_02Jun2021_F1,frontcountry,1.4173,0.235,11.9,58,plastic,yellow_orange,rubber,pe,white and blue,no,n/a
3/23/2023,GCETRO,21-Dec,GCETRO_S7_06Dec2021,GCETRO_S7_06Dec2021_F1,GCRO_S7_06Dec2021_F1,frontcountry,0.788,0.078,13.8,37.9,plastic,yellow,sweet,pp,gray,no,n/a
3/23/2023,GCETRO,21-Sep,GCETRO_S6_14Sep2021,GCETRO_S6_14Sep2021_F1,GCETRO_S6_14Sep2021_F1,frontcountry,1.2722,0.084,13.6,40.9,plastic,yellow,sweet,pp,white and blue,no,food wrapper
3/23/2023,GCBAC,21-Sep,GCBAC_S11_12Sep2021,GCBAC_S11_12Sep2021_F1,GCBAC_S11_12Sep2021_F1,backcountry,0.5634,0.02,6.7,24.8,plastic,yellow,sweet,pp,purple and pink,no,food wrapper
3/23/2023,GCTL,21-Sep,GCTL_S4_14Sep2021,GCTL_S4_14Sep2021_F1,GCBU_S4_14Sep2021_F1,frontcountry,0.7157,0.336,14.1,76.3,plastic,yellow_orange,rubber,pe,white and green,no,n/a
7/10/2023,GCBAR,21-Jun,GCBAR_S3_02Jun2021,GCBAR_S3_02Jun2021_F1,BA_S3_02Jun2021_F1,frontcountry,1.6753,0.93,28.9,61.3,plastic,red_orange,natural_gas,ps,cream/white,no,?
7/10/2023,GCETRO,21-Sep,GCETRO_S10_14Sep2021,GCETRO_S10_14Sep2021_F1,GCETRO_S10_14Sep2021_F1,frontcountry,2.9656,0.316,19.8,58.8,plastic,yellow_orange,rubber,pe,white and metalic,yes,wrapper
7/10/2023,GCETRO,21-Jun,GCET2_S1_02Jun2021,GCETRO_S1_02Jun2021_F1,GCET2_S1_02Jun2021_F1,frontcountry,1.1441,0.013,9.3,27,plastic,yellow,sweet,pp,white and metalic,no,food wrapper
7/14/2023,GCBH,21-Sep,GCBH_S5_12Sep2021,GCBH_S5_12Sep2021_F1,GCBH_S5_12Sep2021_F1,backcountry,1.5471,0.008,5.4,7.6,plastic,yellow,sweet,pp,metalic,no,food wrapper
7/14/2023,GCBH,21-Sep,GCBH_S2_12Sep2021,GCBH_S2_12Sep2021_F1,GCBH_S2_14Sep2021_F1,backcountry,4.1176,0.105,14,30,plastic,yellow,sweet,pp,candy bar wrapper,no,food wrapper
4/10/2025,GC15H,21-Sep,GC15H_S2_13Sep2021,GCBAT_S1_13Sep2021,GCBAT_S1_13Sep2021,backcountry,2.661,0.0333,8,28.3,plastic,yellow_orange,rubber,pe,white,yes,food wrapper
