"","site_id","TriggerID","ImageFile1","ImageDate1","ImageFile2","ImageDate2","subject_id","top_identity","top_value","consensus_pct"
"1","GC15H","GC15H_CC_11Sep2021_08200101","08200101.JPG","2021:08:20 13:01:52","08200102.JPG","2021:08:20 13:01:52","72109746","BOBCAT","arw","arw"
"2","GC15H","GC15H_CC_11Sep2021_09010153","09010153.JPG","2021:09:01 19:45:33","09010154.JPG","2021:09:01 19:45:33","72109772","GRAYFOX","arw","arw"
"3","GC15H","GC15H_CC_25Jul2021_06040219","06040219.JPG","2021:06:04 21:16:58","06040220.JPG","2021:06:04 21:16:58","77359610","GRAYFOX","8","88.89"
"4","GC15H","GC15H_CC_25Jul2021_06040221","06040221.JPG","2021:06:04 21:17:42","06040222.JPG","2021:06:04 21:17:42","77359611","GRAYFOX","9","90"
"5","GC15H","GC15H_CC_25Jul2021_06170127","06170127.JPG","2021:06:17 04:25:07","06170128.JPG","2021:06:17 04:25:07","77360107","RACCOON","5","55.56"
"6","GC15H","GC15H_CC_25Jul2021_06290567","06290567.JPG","2021:06:29 20:29:49","06290568.JPG","2021:06:29 20:29:49","77360325","GRAYFOX","4","44.44"
"7","GC15H","GC15H_CC_25Jul2021_07020643","07020643.JPG","2021:07:02 04:11:37","07020644.JPG","2021:07:02 04:11:38","77360365","COYOTE","5","55.56"
"8","GC15H","GC15H_CC_25Jul2021_07130983","07130983.JPG","2021:07:13 03:04:49","07130984.JPG","2021:07:13 03:04:50","77360535","STRIPEDSKUNK","8","88.89"
"9","GCBAC","GCBAC_CC_05Dec2021_100EK113_09120005","100EK113_09120005.JPG","2021:09:12 20:25:30","100EK113_09120006.JPG","2021:09:12 20:25:31","77391993","RINGTAIL","6","66.67"
"10","GCBAC","GCBAC_CC_05Dec2021_100EK113_09120007","100EK113_09120007.JPG","2021:09:12 20:25:47","100EK113_09120008.JPG","2021:09:12 20:25:47","77391995","RINGTAIL","6","66.67"
"11","GCBAC","GCBAC_CC_05Dec2021_100EK113_09120009","100EK113_09120009.JPG","2021:09:12 21:19:12","100EK113_09120010.JPG","2021:09:12 21:19:12","77391996","RINGTAIL","6","60"
"12","GCBAC","GCBAC_CC_05Dec2021_100EK113_09120011","100EK113_09120011.JPG","2021:09:12 21:19:40","100EK113_09120012.JPG","2021:09:12 21:19:40","77391997","RINGTAIL","6","66.67"
"13","GCBAC","GCBAC_CC_05Dec2021_100EK113_09120013","100EK113_09120013.JPG","2021:09:12 21:42:12","100EK113_09120014.JPG","2021:09:12 21:42:12","77391998","RINGTAIL","4","40"
"14","GCBAC","GCBAC_CC_05Dec2021_100EK113_09120015","100EK113_09120015.JPG","2021:09:12 23:19:41","100EK113_09120016.JPG","2021:09:12 23:19:41","77391999","RINGTAIL","5","50"
"15","GCBAC","GCBAC_CC_05Dec2021_100EK113_09120017","100EK113_09120017.JPG","2021:09:12 23:20:07","100EK113_09120018.JPG","2021:09:12 23:20:07","77392000","RINGTAIL","8","88.89"
"16","GCBAC","GCBAC_CC_05Dec2021_100EK113_09130021","100EK113_09130021.JPG","2021:09:13 00:23:12","100EK113_09130022.JPG","2021:09:13 00:23:12","77392002","GRAYFOX","3","33.33"
"17","GCBAC","GCBAC_CC_05Dec2021_100EK113_09130023","100EK113_09130023.JPG","2021:09:13 00:23:51","100EK113_09130024.JPG","2021:09:13 00:23:52","77392003","RINGTAIL","8","88.89"
"18","GCBAC","GCBAC_CC_05Dec2021_100EK113_09130033","100EK113_09130033.JPG","2021:09:13 03:48:23","100EK113_09130034.JPG","2021:09:13 03:48:23","77392008","RINGTAIL","7","70"
"19","GCBAC","GCBAC_CC_05Dec2021_100EK113_09140307","100EK113_09140307.JPG","2021:09:14 01:12:24","100EK113_09140308.JPG","2021:09:14 01:12:25","77392291","RINGTAIL","6","66.67"
"20","GCBAC","GCBAC_CC_05Dec2021_100EK113_09140309","100EK113_09140309.JPG","2021:09:14 01:13:37","100EK113_09140310.JPG","2021:09:14 01:13:37","77392245","RINGTAIL","10","100"
"21","GCBAC","GCBAC_CC_05Dec2021_100EK113_09140533","100EK113_09140533.JPG","2021:09:14 20:55:16","100EK113_09140534.JPG","2021:09:14 20:55:16","77392404","RACCOON","5","55.56"
"22","GCBAC","GCBAC_CC_05Dec2021_100EK113_09140535","100EK113_09140535.JPG","2021:09:14 23:18:46","100EK113_09140536.JPG","2021:09:14 23:18:46","77392405","RINGTAIL","7","77.78"
"23","GCBAC","GCBAC_CC_05Dec2021_100EK113_09140537","100EK113_09140537.JPG","2021:09:14 23:19:10","100EK113_09140538.JPG","2021:09:14 23:19:11","77392407","RINGTAIL","7","77.78"
"24","GCBAC","GCBAC_CC_05Dec2021_100EK113_09150539","100EK113_09150539.JPG","2021:09:15 02:13:33","100EK113_09150540.JPG","2021:09:15 02:13:33","77392406","RINGTAIL","6","66.67"
"25","GCBAC","GCBAC_CC_05Dec2021_100EK113_09150541","100EK113_09150541.JPG","2021:09:15 02:13:57","100EK113_09150542.JPG","2021:09:15 02:13:57","77392408","RINGTAIL","8","88.89"
"26","GCBAC","GCBAC_CC_05Dec2021_100EK113_09150765","100EK113_09150765.JPG","2021:09:15 19:07:57","100EK113_09150766.JPG","2021:09:15 19:07:57","77392520","RINGTAIL","6","66.67"
"27","GCBAC","GCBAC_CC_05Dec2021_100EK113_09150767","100EK113_09150767.JPG","2021:09:15 19:08:19","100EK113_09150768.JPG","2021:09:15 19:08:20","77392521","RINGTAIL","3","33.33"
"28","GCBAC","GCBAC_CC_05Dec2021_100EK113_09150769","100EK113_09150769.JPG","2021:09:15 19:08:36","100EK113_09150770.JPG","2021:09:15 19:08:36","77392522","RINGTAIL","4","40"
"29","GCBAC","GCBAC_CC_05Dec2021_100EK113_09150771","100EK113_09150771.JPG","2021:09:15 19:08:52","100EK113_09150772.JPG","2021:09:15 19:08:52","77392523","RINGTAIL","8","80"
"30","GCBAC","GCBAC_CC_05Dec2021_100EK113_09150773","100EK113_09150773.JPG","2021:09:15 21:25:18","100EK113_09150774.JPG","2021:09:15 21:25:18","77392525","RINGTAIL","6","66.67"
"31","GCBAC","GCBAC_CC_05Dec2021_100EK113_09160775","100EK113_09160775.JPG","2021:09:16 04:02:09","100EK113_09160776.JPG","2021:09:16 04:02:09","77392524","RINGTAIL","7","70"
"32","GCBAC","GCBAC_CC_05Dec2021_100EK113_09160777","100EK113_09160777.JPG","2021:09:16 04:02:30","100EK113_09160778.JPG","2021:09:16 04:02:31","77392526","RINGTAIL","7","63.64"
"33","GCBAC","GCBAC_CC_05Dec2021_101EK113_09160062","101EK113_09160062.JPG","2021:09:16 23:51:19","101EK113_09160063.JPG","2021:09:16 23:51:19","77392668","RINGTAIL","4","40"
"34","GCBAC","GCBAC_CC_05Dec2021_101EK113_09180192","101EK113_09180192.JPG","2021:09:18 00:09:35","101EK113_09180193.JPG","2021:09:18 00:09:36","77392733","RINGTAIL","7","77.78"
"35","GCBAC","GCBAC_CC_05Dec2021_101EK113_09180194","101EK113_09180194.JPG","2021:09:18 03:10:21","101EK113_09180195.JPG","2021:09:18 03:10:21","77392734","RINGTAIL","8","88.89"
"36","GCBAC","GCBAC_CC_05Dec2021_101EK113_09210570","101EK113_09210570.JPG","2021:09:21 22:09:20","101EK113_09210571.JPG","2021:09:21 22:09:20","77392964","RINGTAIL","7","77.78"
"37","GCBAC","GCBAC_CC_05Dec2021_101EK113_09220572","101EK113_09220572.JPG","2021:09:22 00:15:04","101EK113_09220573.JPG","2021:09:22 00:15:05","77392965","RINGTAIL","6","60"
"38","GCBAC","GCBAC_CC_05Dec2021_101EK113_09220776","101EK113_09220776.JPG","2021:09:22 20:25:52","101EK113_09220777.JPG","2021:09:22 20:25:52","77393106","RINGTAIL","6","66.67"
"39","GCBAC","GCBAC_CC_05Dec2021_102EK113_09250027","102EK113_09250027.JPG","2021:09:25 22:07:20","102EK113_09250028.JPG","2021:09:25 22:07:20","77393231","RINGTAIL","7","70"
"40","GCBAC","GCBAC_CC_05Dec2021_102EK113_09260029","102EK113_09260029.JPG","2021:09:26 19:40:59","102EK113_09260030.JPG","2021:09:26 19:40:59","77393232","RINGTAIL","8","88.89"
"41","GCBAC","GCBAC_CC_05Dec2021_102EK113_09260033","102EK113_09260033.JPG","2021:09:26 23:36:27","102EK113_09260034.JPG","2021:09:26 23:36:27","77393234","RINGTAIL","5","50"
"42","GCBAC","GCBAC_CC_05Dec2021_102EK113_09290103","102EK113_09290103.JPG","2021:09:29 02:34:24","102EK113_09290104.JPG","2021:09:29 02:34:24","77393269","RINGTAIL","5","55.56"
"43","GCBAC","GCBAC_CC_05Dec2021_102EK113_09300279","102EK113_09300279.JPG","2021:09:30 19:02:08","102EK113_09300280.JPG","2021:09:30 19:02:09","77393456","RINGTAIL","8","72.73"
"44","GCBAC","GCBAC_CC_05Dec2021_102EK113_10020441","102EK113_10020441.JPG","2021:10:02 02:52:46","102EK113_10020442.JPG","2021:10:02 02:52:46","77393587","RINGTAIL","4","40"
"45","GCBAC","GCBAC_CC_05Dec2021_102EK113_10020447","102EK113_10020447.JPG","2021:10:02 03:40:33","102EK113_10020448.JPG","2021:10:02 03:40:33","77393590","RACCOON","5","45.45"
"46","GCBAC","GCBAC_CC_05Dec2021_102EK113_10020449","102EK113_10020449.JPG","2021:10:02 03:41:13","102EK113_10020450.JPG","2021:10:02 03:41:13","77393591","RINGTAIL","5","55.56"
"47","GCBAC","GCBAC_CC_05Dec2021_102EK113_10020585","102EK113_10020585.JPG","2021:10:02 19:01:15","102EK113_10020586.JPG","2021:10:02 19:01:16","77393659","RINGTAIL","10","100"
